name,gongyi,kouwei,shijian,nandu,zhuliao,fuliao,buzhou,less,more,no,tang,reliang,zhifang,text,parsed
猪肉白菜炖粉条,炖,家常味,30分钟,中级掌勺,白菜400克;五花肉200克;粉条（干）150克 ;,植物油90克;盐3克;红烧酱油20克;蚝油25克;老姜12克;花椒1克;八角1个;三奈1个;小葱10克;,"步骤1:备好食材：猪肉、白菜、粉条、小葱、老姜、八角、三奈、花椒；
步骤2:猪肉洗净，切大薄片；
步骤3:白菜切段，葱白切段，葱绿切葱花、老姜切成姜末；
步骤4:起油锅，放入猪肉煸炒；
步骤5:猪肉逼出油分后，调入红烧酱油，蚝油，继续翻炒；
步骤6:放入葱白、姜末，炒出香味；
步骤7:放入白菜梆子；迅速翻炒均匀；
步骤8:放入白菜叶，继续翻炒；
步骤9:放入粉条；倒入适量清水，调入花椒、八角、三奈，大火煮7-8分钟；
步骤10:调入适量盐，翻炒均匀，关火，起锅。【猪肉白菜炖粉条】做好啦。
",高血脂人群;高血压人群;减肥人群;高血糖人群;儿童;,无,无,2.03克,212.2克,21.2克,白菜400克;五花肉200克;粉条（干）150克 ;猪肉白菜炖粉条,白菜 猪肉 猪肉 白菜 
炒豆芽,炒,家常味,15分钟,初级入门,豆芽200克;粉条100克;,食用油8毫升;蒜片5克;生抽5克;鸡精3克;盐3克;葱花适量;辣椒少许;,"步骤1:锅中加水，放入粉条，大火煮沸。
步骤2:炒锅加食用油，放入蒜片，爆香。
步骤3:放入豆芽，大火翻炒2分钟，加生抽、鸡精、盐，继续翻炒2分钟。
步骤4:倒入粉条，翻炒均匀，加入葱花适量。
步骤5:出锅装盘，撒葱花红辣椒点缀。
",减肥人群;儿童;,高血压人群;高血脂人群;,高血糖人群;,19.11克,133.8克,2.5克,豆芽200克;粉条100克;炒豆芽,豆芽 豆芽 
醋溜白菜,炒,酸辣味,10分钟,初级入门,白菜适量;,食用油5毫升;花椒少许;蒜片适量;干辣椒丝适量;生抽5克;陈醋5克;盐3克;,"步骤1:锅中放油，倒入花椒、蒜片、干辣椒丝，大火爆香
步骤2:倒入白菜
步骤3:倒入生抽、陈醋、盐，大火爆炒2分钟
步骤4:出锅即可食用
",儿童;,高血压人群;高血糖人群;减肥人群;高血脂人群;,无,1.54克,13.8克,0.2克,白菜适量;醋溜白菜,白菜 白菜 
土豆炖五花肉,炖,咸鲜味,30分钟,中级掌勺,五花肉50克;土豆300克;,姜2克;葱10克;,"步骤1:准备姜丝，葱段，五花肉切片，土豆刮皮切块
步骤2:锅中倒入食用油，倒入肉片，煸炒至变色
步骤3:加入八角，倒入姜丝，葱段，肉片
步骤4:倒入十三香，土豆，翻炒均匀，加水
步骤5:倒入生抽，盐，大火收汁
",减肥人群;,高血脂人群;高血压人群;儿童;,高血糖人群;,10.01克,113.5克,5.2克,五花肉50克;土豆300克;土豆炖五花肉,猪肉 土豆 土豆 猪肉 
翠玉白菜,蒸,家常味,15分钟,新手尝试,土豆1个;白菜150克;肥牛50克;,蒜5克;生抽5克;白砂糖5克;,"步骤1:土豆刮皮，切片，白菜去蒂
步骤2:碗中放入肥牛，生抽，胡椒粉，搅拌均匀，腌制十分钟
步骤3:锅中隔水放入土豆片，大火蒸熟
步骤4:锅中放水，大火煮沸，放入白菜焯水1分钟
步骤5:土豆片倒入碗中，加入胡椒粉，盐，捣成泥
步骤6:白菜上放上肥牛，放上土豆泥，抹匀，卷成卷
步骤7:隔水放入肥牛卷，大火蒸熟，锅中放油，倒入蒜片，白砂糖，大火爆香，加入生抽，大火爆香，浇在肥牛卷上
",高血糖人群;,高血压人群;减肥人群;高血脂人群;儿童;,无,5.39克,58.5克,1克,土豆1个;白菜150克;肥牛50克;翠玉白菜,土豆 白菜 牛肉 白菜 
福寿鱼,烧,咸鲜味,30分钟,初中水平,福寿鱼一条;,生姜10克;蒜片3克;葱花15克;芹菜10克;料酒5克;生抽5克;盐2克;,"步骤1:姜蒜切片芹菜切段备用
步骤2:福寿鱼改斜刀
步骤3:油热后放入福寿鱼，小火煎至两面金黄
步骤4:煎好后加入蒜葱花料酒生抽盐，之后加入一升水
步骤5:大火煮五分钟即可出锅
",无,减肥人群;高血糖人群;高血脂人群;高血压人群;儿童;,无,1.05克,53.9克,0.8克,福寿鱼一条;福寿鱼,鱼 鱼 
香辣椒盐小土豆,煎,咸鲜味,15分钟,初中水平,土豆仔200克;,椒盐半茶匙;黑胡椒粉少许;花生油一小勺;小葱1根;,"步骤1:小土豆洗干净后不用去皮直接放入锅中隔水蒸熟，用筷子戳一下，能轻松戳进去就是蒸熟了。
步骤2:用刀压扁。
步骤3:不沾平底锅放少许花生油。
步骤4:下入压扁的小土豆，中小火煎制。
步骤5:两面都煎到焦黄，撒入辣椒粉。
步骤6:放椒盐。
步骤7:现磨少许黑胡椒碎，出锅前撒少许葱花即可。
",无,减肥人群;高血脂人群;高血压人群;儿童;,高血糖人群;,11.69克,74.3克,0.2克,土豆仔200克;香辣椒盐小土豆,土豆 辣椒 土豆 
炝土豆丝,煮,家常味,10分钟,新手尝试,土豆500克;,蒜5克;香菜1根;花椒2克;干辣椒3克;白醋10克;盐2克;,"步骤1:蒜末5克，香菜1根切段，土豆500克去皮擦丝
步骤2:清水500ML，大火煮沸，倒入土豆丝，焯水30秒
步骤3:锅中放入食用油5ML，倒入蒜末、花椒2克、干辣椒3克，大火爆香
步骤4:倒入土豆丝，倒入调料、香菜、白醋10克、盐2克，搅拌均匀
",儿童;,高血压人群;减肥人群;高血脂人群;,高血糖人群;,12.39克,79克,0.3克,土豆500克;炝土豆丝,土豆 土豆 
酸辣包菜,炒,酸辣味,10分钟,初级入门,包菜1颗;猪肉150克;,盐3克;糖1茶匙;生抽1茶匙;蚝油1茶匙;陈醋1汤匙;大蒜15克;干辣椒丝10克;,"步骤1:包菜洗净后，直接用手掰成大片，猪肉把肥瘦分开切制，蒜子切片
步骤2:锅加热后，先把肥肉部分煸出油脂
步骤3:瘦肉放入一起炒，只要肉色稍稍转变，即盛出备用
步骤4:锅内留着的油脂继续煸香红椒丝与蒜片
步骤5:包菜片放入一起炒制
步骤6:加入适量的盐，糖
步骤7:少许生抽与蚝油提味增鲜
步骤8:临出锅的时候，放入事先煸炒过的肉片，再淋上适量的陈醋
步骤9:炒匀，大功告成，可以盛盘
步骤10:
",高血脂人群;减肥人群;儿童;,高血压人群;高血糖人群;,无,3.57克,149.7克,12.3克,包菜1颗;猪肉150克;酸辣包菜,包菜 猪肉 包菜 
干煸花菜,干锅,香辣味,30分钟,初级入门,花菜400克;,油适量;盐1克;红椒1个;大蒜3瓣;干辣椒2个;干花椒2克;豆豉香辣酱15克;鲜酱油3克;老抽1克;糖2克;白胡椒粉1克;,"步骤1:备好食材：花菜、豆豉香辣酱、红椒、大蒜
步骤2:花菜用盐水浸泡半小时后洗净
步骤3:把洗净的花菜切成小朵，大蒜切片，红椒切小块
步骤4:干辣椒段和花椒
步骤5:苏泊尔火红点2代无油烟炒锅中倒入适量油，开启中火
步骤6:当锅中的火红点由双色变成全红时，便可以开始烹饪了
步骤7:下入花菜和1克盐翻炒片刻后转小火煸炒
步骤8:为了加快成熟度，期间可以盖上锅盖边焖边炒
步骤9:直到把花菜煸熟，变软，有些透明状盛出备用
步骤10:再起油锅，中小火把花椒炸香后捞出
步骤11:放入蒜片和干辣椒段
步骤12:煸出香味后倒入豆豉辣酱煸炒一会
步骤13:放入糖、鲜酱油和老抽炒拌均匀
步骤14:放入红椒块和白胡椒粉翻炒片刻
步骤15:倒入煸熟的花菜，炒拌均匀即可出锅，装盘开吃吧，非常入味哦！
",儿童;,高血压人群;高血糖人群;减肥人群;高血脂人群;,无,2.38克,12.3克,0.2克,花菜400克;干煸花菜,西兰花 西兰花 
土豆炖鸡肉,炖,家常味,60分钟,初中水平,土豆2个;鸡肉适量;,料酒1勺;蚝油一勺;生抽适量;白糖一小勺;清水大半碗;小葱适量;食盐适量;食用油适量;生姜三片;大蒜适量;蒸鱼豉油1勺 ;,"步骤1:鸡肉清洗干净，剁块待用。
步骤2:土豆去皮清洗干净，切滚刀块，洗去表面淀粉，沥干水份待用。
步骤3:热锅凉油，加入生姜，大蒜煸香，加入鸡肉，料酒翻炒至半熟。
步骤4:再加入土豆，食盐一起翻炒至土豆表面金黄色。
步骤5:将生抽，蚝油，蒸鱼鼓油，白糖，清水一起倒入碗中调成调味汁，倒入锅中，大火煮开。转中火焖煮至熟。
步骤6:最后留一点点汤汁，加入小葱一起炒匀出锅。
",高血压人群;高血糖人群;儿童;,减肥人群;高血脂人群;,无,6.44克,73.7克,2克,土豆2个;鸡肉适量;土豆炖鸡肉,土豆 鸡肉 土豆 鸡肉 
黄瓜干,腌,甜味,数小时,新手尝试,黄瓜200克;,盐30克;,"步骤1:黄瓜切片
步骤2:倒入碗内，倒入盐，搅拌均匀，腌制24小时
步骤3:黄瓜片摆入菜板
步骤4:太阳下暴晒12小时
步骤5:就做好了
",无,高血糖人群;减肥人群;高血脂人群;高血压人群;儿童;,无,1.89克,14.7克,0.2克,黄瓜200克;黄瓜干,黄瓜 黄瓜 
土豆炒胡萝卜丝,炒,香辣味,5分钟,初级入门,土豆1个;胡萝卜1根;,油适量;盐适量;五香粉适量;葱适量;蒜适量;生抽少许;辣椒油稍粗;香菜适量;,"步骤1:土豆去皮洗净
步骤2:胡萝卜、大蒜去皮洗净，香菜择洗干净
步骤3:土豆用擦丝器擦成丝，冷水浸泡5-10分钟，泡出淀粉。胡萝卜同样用擦丝器擦成丝备用
步骤4:锅中加入适量的水烧开，下入土豆丝和胡萝卜丝过水焯一下，然后过冷水，这道程序是炒好土豆丝的关键，如果不焯水，土豆丝炒轻了不熟，炒的合适土豆丝就断掉了，既不好看也不好吃
步骤5:过冷水后控净水分，葱洗净切碎，蒜切碎
步骤6:炒锅加入适量的油，爆香五香粉和葱花，加入土豆丝和胡萝卜丝翻炒
步骤7:炒至土豆丝变软，加入盐、蒜、少许辣椒油、少许生抽调味
步骤8:最后撒入香菜末调味
步骤9:出锅装盘。看着是不是特别有食欲，土豆丝这么炒就对了！
",高血压人群;高血糖人群;儿童;,高血脂人群;减肥人群;,无,6.93克,53.2克,2克,土豆1个;胡萝卜1根;土豆炒胡萝卜丝,土豆 胡萝卜 土豆 胡萝卜 
胡萝卜炒肉,炒,咸鲜味,10分钟,新手尝试,胡萝卜1根;猪肉30克;,葱花5克;蒜片8克;姜片5克;盐3克;食用油5毫升;生抽3克;胡椒粉2克;,"步骤1:准备好食材
步骤2:准备胡萝卜1根去皮切片，葱花5g、姜末5g、蒜片8g、猪肉30g切片；
步骤3:碗中放入猪肉，盐1g搅拌均匀，
步骤4:起锅清水煮沸倒入胡萝卜，焯水30秒
步骤5:起锅倒入油5ml，倒入葱姜蒜，倒入肉片，煸炒至变色倒入胡萝卜，翻炒均匀后放入胡椒粉2g，生抽3g，盐2g；
步骤6:翻炒均匀，出锅。
",无,高血脂人群;高血压人群;减肥人群;高血糖人群;儿童;,无,4.97克,72.6克,5克,胡萝卜1根;猪肉30克;胡萝卜炒肉,胡萝卜 猪肉 胡萝卜 
包菜炒肉,炒,家常味,10分钟,初级入门,包菜一个;猪肉150克;,蒜片5克;葱花10克;辣椒一根;生抽5克;,"步骤1:1、准备蒜片、葱花、辣椒段，包菜撕片，猪肉切片
步骤2:2、倒入食用油，放葱花、蒜片、肉片，煸炒猪肉至变色
步骤3:3、倒入包菜，大火翻炒至包菜断生
步骤4:4、加生抽、鸡粉、盐、辣椒，翻炒均匀即可
步骤5:
",减肥人群;儿童;,高血脂人群;高血压人群;高血糖人群;,无,2.52克,107克,8.7克,包菜一个;猪肉150克;包菜炒肉,包菜 猪肉 包菜 
牛肉干,炒,家常味,15分钟,初级入门,牛肉350克;,姜片5克;食用油5毫升;料酒20克;茴香2克;五香粉2克;白糖35克;生抽20克;盐8克;辣椒粉5克;,"步骤1:姜片5g
步骤2:牛肉350g切片
步骤3:牛肉冷水入锅，加入料酒、姜片，焯水去腥去血沫
步骤4:锅中热油后，加入茴香、五香粉、牛肉翻炒均匀
步骤5:然后加入生抽、盐、白糖翻炒均匀加入辣椒粉继续翻炒
",减肥人群;高血糖人群;高血压人群;儿童;,高血脂人群;,无,7.14克,143.5克,4.5克,牛肉350克;牛肉干,牛肉 牛肉 
手撕包菜,炒,家常味,5分钟,新手尝试,包菜半个;,蒜15克;干辣椒适量;豉油15克;陈醋15克;盐适量;,"步骤1:包菜用手撕成块，蒜切末，干辣椒切段。
步骤2:热锅热油，下蒜末，干辣椒炒香，倒入包菜翻炒一下。
步骤3:放入盐，翻炒均匀，倒入豉油，陈醋翻炒出锅。
",儿童;,高血糖人群;高血压人群;减肥人群;高血脂人群;,无,2.8克,20.6克,0.2克,包菜半个;手撕包菜,包菜 包菜 
孜然土豆片,炒,家常味,5分钟,新手尝试,土豆;,淀粉;蒜;小米椒;盐    ; 孜然粉; 辣椒粉;蚝油;葱花;白芝麻;,"步骤1:土豆切片煮熟
步骤2:裹上淀粉
步骤3:炸至金黄色
步骤4:锅底烧油倒入蒜片小米椒爆香
步骤5:倒入土豆片
步骤6:倒入盐孜然粉辣椒粉蚝油白芝麻葱花
步骤7:翻炒均匀完成
",儿童;,减肥人群;高血脂人群;高血压人群;,高血糖人群;,11.69克,74.3克,0.2克,土豆;孜然土豆片,土豆 土豆 
炸土豆丸子,炒,家常味,5分钟,新手尝试,土豆;鸡蛋;面粉;,姜;蒜;花椒粉;盐;淀粉;,"步骤1:土豆擦成丝。
步骤2:碗中加入姜蒜末，鸡蛋，花椒粉，盐，面粉，淀粉。
步骤3:搅拌均匀。
步骤4:油温六成热放入丸子，小火慢炸至略微金黄，捞出。
步骤5:油温升高下入丸子，大火复炸。
步骤6:炸至金黄酥脆即可。
",减肥人群;高血脂人群;高血压人群;儿童;,无,高血糖人群;,22.19克,182.5克,2.8克,土豆;鸡蛋;面粉;炸土豆丸子,土豆 鸡蛋 土豆 
干拌土豆片,炒,家常味,5分钟,新手尝试,土豆;,盐;香油;鸡精;辣椒面;味极鲜;十三香;味精;蒜泥;青花椒;花椒油;生抽;葱;陈醋;芝麻;,"步骤1:土豆切薄片。
步骤2:热水煮熟。
步骤3:加入盐，鸡精，味精，生抽，陈醋，味极鲜，香油，花椒油，辣椒面，蒜泥，葱，十三香，青花椒。
步骤4:淋上热油，撒上芝麻。
步骤5:拌匀开吃。
",儿童;,减肥人群;高血脂人群;高血压人群;,高血糖人群;,11.69克,74.3克,0.2克,土豆;干拌土豆片,土豆 土豆 
鱼香肉丝,炒,鱼香味,10分钟,新手尝试,猪肉丝250克;胡萝卜一根;柿子椒半个;,泡红椒2个;水发黑木耳适量;料酒适量;淀粉少许;植物油适量;生抽适量;米醋适量;白糖适量;,"步骤1:准备的材料：葱花、姜丝、蒜沫、泡椒，黑木耳需提前泡发
步骤2:猪肉丝用料酒、干淀粉、盐抓匀，腌渍十分钟左右入味
步骤3:生抽、米醋、白糖、淀粉、水，按照3:4:4:1:5的比例调成料汁待用
步骤4:胡萝卜洗净切丝、柿子椒切丝，黑木耳切丝，泡椒切碎
步骤5:炒锅热锅冷油，放入肉丝划开，小火炒至变色后盛出待用
步骤6:借助锅中底油，放入泡椒碎炒出香味，放入葱姜蒜炒香
步骤7:放入胡萝卜丝翻炒一会至软，再放入青椒丝、黑木耳丝炒匀
步骤8:放入肉丝快速翻炒
步骤9:放入调好的料汁炒匀
步骤10:炒匀后即可盛出，一盘色香味俱全的鱼香肉丝上桌了了
",高血脂人群;减肥人群;高血压人群;高血糖人群;儿童;,无,无,3.36克,219.2克,19.6克,猪肉丝250克;胡萝卜一根;柿子椒半个;鱼香肉丝,猪肉 胡萝卜 鱼 
